Name,WHO.Region,Cases_cumulative.total,Cases_cumulative.total.per.100000.population,Cases_newly.reported.in.last.7.days,Cases_newly.reported.in.last.7.days.per.100000.population,Cases_newly.reported.in.last.24.hours,Death_cumulative.total,Deaths_cumulative.total.per.100000.population,Deaths_newly.reported.in.last.7.days,Deaths_newly.reported.in.last.7.days.per.100000.population,Deaths_newly.reported.in.last.24.hours,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,Eastern Mediterranean,202993,521.453,844,2.168,159,7821,20.091,3,0.008,0,10/24/2022,12055358,11084618,30.968,28.474,10386823,26.682,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/22/2021,11,NA,NA
Albania,Europe,331800,11529.641,174,6.046,17,3593,124.852,1,0.035,0,10/16/2022,2991576,1339100,104,47.053,1265900,44.481,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5,363122,12.759
Algeria,Africa,270836,617.627,59,0.135,7,6881,15.692,0,0,0,9/4/2022,15267442,7840131,34.817,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021,4,575651,1.313
American Samoa,Western Pacific,8257,14959.146,0,0,0,34,61.598,0,0,0,8/23/2022,111316,44885,201.67,81.318,41423,75.046,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,24160,43.77
Andorra,Europe,46535,60227.787,86,111.305,0,155,200.608,0,0,0,10/16/2022,154320,57898,199.7,76.005,53482,70.208,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/20/2021,3,42940,56.369
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0,10/16/2022,22814412,14220830,69.416,43.269,7814121,23.776,SII - Covishield,3/10/2021,1,1127156,3.43
Anguilla,Americas,3866,25769.897,0,0,0,12,79.989,0,0,0,10/21/2022,24434,10852,162.872,72.337,10366,69.097,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2/5/2021,2,2998,19.984
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0,10/21/2022,136512,64290,139.399,65.65,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,6,9838,10.046
Argentina,Americas,9717546,21501.006,0,0,0,129979,287.591,0,0,0,10/7/2022,109652736,41324100,242.617,91.434,37840119,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020,7,30810184,68.17
Armenia,Europe,445242,15025.543,142,4.792,142,8709,293.902,3,0.101,3,5/22/2022,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6/16/2021,8,40725,1.374
Aruba,Americas,43334,40587.828,43,40.275,0,232,217.298,0,0,0,10/21/2022,173634,89915,162.63,84.217,83719,78.414,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2,NA,NA
Australia,Western Pacific,10364859,40646.691,0,0,0,14738,57.796,0,0,0,9/28/2022,63461493,22443557,248.87,88.014,21784904,85.431,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/21/2021,5,14265648,55.944
Austria,Europe,5436721,61079.451,37932,426.151,4260,20979,235.691,57,0.64,1,10/16/2022,19596170,6889593,220.2,77.507,6671600,74.953,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,5359031,60.207
Azerbaijan,Europe,823247,8119.467,293,2.89,45,9944,98.075,7,0.069,0,10/16/2022,13763859,5410598,135.7,53.363,4873700,48.068,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,5,3479563,34.318
Bahamas,Americas,37369,9502.751,5,1.271,0,833,211.828,0,0,0,10/21/2022,362968,173529,92.301,44.128,165317,42.039,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/2021,4,32960,8.382
Bahrain,Eastern Mediterranean,689820,40540.088,2229,130.996,340,1527,89.74,3,0.176,0,10/24/2022,3473218,1240847,204.118,72.923,1226330,72.07,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/4/2020,11,1006041,59.124
Bangladesh,South-East Asia,2035240,1235.805,892,0.542,88,29423,17.866,8,0.005,0,10/25/2022,318255850,136574231,193.246,82.928,124008941,75.299,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8,57672678,35.019
Barbados,Americas,103014,35846.542,0,0,0,560,194.867,0,0,0,10/21/2022,380666,163707,132.463,56.966,154789,53.863,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/8/2021,5,62170,21.634
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0,10/16/2022,16102869,6512843,170.4,68.924,6407148,67.805,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2/3/2021,4,3414776,36.138
